START	END
1007088005	1007088010
1007088012	1007090945
1007090948	1007090948
1007090950	1007090957
1007090959	1007091205
1007091207	1007091458
1007091461	1007091464
1007091466	1007091469
1007091471	1007091488
1007091490	1007091491
1007091494	1007091498
1007091500	1007091500
1007091502	1007091610
1007091612	1007092305
1007092307	1007092377
1007092379	1007096098
1007096110	1007096341
1007096343	1007096413
1007096415	1007096562
1007096564	1007096609
1007096611	1007110399
1007111168	1007116287
1007116544	1007120430
1007120432	1007120973
1007120975	1007122618
1007122620	1007128138
1007128140	1007157277
1007157279	1007157635
1007157637	1007158029
1007158031	1007158149
1007158151	1007158226
1007158228	1007158281
1007158283	1007159117
1007159119	1007159807
1007159824	1007159825
1007159827	1007159845
1007159847	1007159896
1007159899	1007160161
1007160163	1007160171
1007160173	1007160173
1007160175	1007160261
1007160263	1007160371
1007160373	1007160645
1007160647	1007160673
1007160675	1007160724
1007160726	1007161626
1007161628	1007161633
1007161635	1007161673
1007161678	1007161769
1007161771	1007161865
1007161867	1007161889
1007161891	1007162505
1007162507	1007163216
1007163218	1007164729
1007164731	1007165469
1007165471	1007165473
1007165475	1007166501
1007166503	1007167494
1007167496	1007169791
1007169793	1007169805
1007169807	1007169809
1007169811	1007169813
1007169815	1007169817
1007169819	1007169869
1007169871	1007169885
1007169887	1007169913
1007169915	1007169951
1007169953	1007170869
1007170871	1007171101
1007171103	1007172417
1007172419	1007172865
1007172867	1007187969
1007187971	1007206467
1007206477	1007206911
1007207076	1007207945
1007207947	1007208465
1007208467	1007208467
1007208469	1007208481
1007208483	1007208561
1007208563	1007208609
1007208611	1007208657
1007208659	1007208673
1007208675	1007208677
1007208679	1007208765
1007208767	1007208777
1007208779	1007208805
1007208807	1007208849
1007208855	1007208929
1007208931	1007208945
1007208947	1007209127
1007209129	1007209353
1007209355	1007209373
1007209375	1007209729
1007209731	1007210497
1007210499	1007210501
1007210503	1007210505
1007210507	1007210515
1007210517	1007213325
1007213327	1007214177
1007214179	1007214593
1007214595	1007214628
1007214630	1007214781
1007214783	1007214785
1007214787	1007218213
1007218215	1007259665
1007259667	1007259754
1007259756	1007288271
1007288273	1007288278
1007288280	1007291687
1007291689	1007291803
1007291805	1007291914
1007291916	1007292430
1007292432	1007292508
1007292510	1007293350
1007293352	1007297040
1007297042	1007297043
1007297045	1007298922
1007298924	1007303301
1007303303	1007303344
1007303346	1007303640
1007303642	1007303707
1007303709	1007310659
1007310661	1007321757
1007321759	1007322055
1007322057	1007322652
1007322655	1007322673
1007322675	1007322677
1007322679	1007322726
1007322728	1007322924
1007322926	1007322927
1007322929	1007323667
1007323669	1007324161
1007324163	1007325191
1007325194	1007330189
1007330191	1007330407
1007330409	1007331586
1007331590	1007331590
1007331592	1007331593
1007331595	1007331595
1007331597	1007331716
1007331718	1007331718
1007331721	1007331731
1007331733	1007331736
1007331738	1007331738
1007331740	1007331845
1007331847	1007332657
1007332659	1007332660
1007332662	1007333739
1007333741	1007333906
1007333908	1007337741
1007337743	1007337993
1007337995	1007338054
1007338056	1007338767
1007338769	1007338888
1007338890	1007339217
1007339219	1007340335
1007340337	1007352005
1007352007	1007354438
1007354440	1007354756
1007354758	1007357140
1007357142	1007358164
1007358166	1007359175
1007359217	1007361536
1007361538	1007363846
1007363862	1007365084
1007365086	1007365856
1007365888	1007366017
1007366019	1007369345
1007369397	1007369728
1007369856	1007370099
1007370101	1007372445
1007372447	1007382878
1007382880	1007385485
1007385487	1007386409
1007386411	1007390785
1007390787	1007392085
1007392087	1007396865
1007396867	1007397397
1007397399	1007398750
1007398752	1007398767
1007398769	1007398841
1007398843	1007398845
1007398847	1007399041
1007399043	1007399169
1007399171	1007399297
1007399299	1007399945
1007399947	1007401216
1007401472	1007401671
1007401673	1007401728
1007401799	1007402774
1007402776	1007405058
1007405060	1007405063
1007405065	1007405065
1007405067	1007405078
1007405080	1007405270
1007405272	1007406345
1007406347	1007406365
1007406367	1007406373
1007406375	1007406377
1007406379	1007407423
1007407425	1007408899
1007408901	1007409766
1007409768	1007413052
1007413054	1007414701
1007414703	1007415177
1007415179	1007415185
1007415187	1007415189
1007415191	1007418683
1007418685	1007418821
1007418823	1007419511
1007419520	1007419659
1007419661	1007419773
1007419775	1007420545
1007420547	1007421097
1007421100	1007421111
1007421120	1007421599
1007421632	1007422207
1007422240	1007423299
1007423301	1007424429
1007424431	1007426047
1007426304	1007427586
1007427596	1007428153
1007428159	1007431689
1007431691	1007436337
1007436339	1007439921
1007439923	1007441077
1007441079	1007442122
1007442124	1007442317
1007442319	1007442437
1007442439	1007442441
1007442443	1007442473
1007442475	1007442485
1007442487	1007442705
1007442707	1007443205
1007443207	1007444096
1007444098	1007449177
1007449179	1007455041
1007455043	1007455290
1007455292	1007455391
1007455400	1007455511
1007455520	1007455649
1007455652	1007455665
1007455671	1007455673
1007455675	1007455999
1007456256	1007456901
1007456903	1007461353
1007461355	1007462293
1007462295	1007468297
1007468299	1007474431
1007474688	1007485308
1007485310	1007521132
1007521136	1007524361
1007524363	1007529529
1007529531	1007529681
1007529687	1007530239
1007530496	1007531553
1007531558	1007531597
1007531599	1007531705
1007531707	1007531729
1007531731	1007531858
1007531861	1007531980
1007531982	1007532661
1007532663	1007533221
1007533223	1007534049
1007534051	1007539502
1007539504	1007540993
1007540995	1007543290
1007543292	1007549189
1007549191	1007559785
1007559787	1007559795
1007559797	1007568589
1007568591	1007569231
1007569233	1007569251
1007569253	1007573001
1007573008	1007573017
1007573019	1007573632
1007573760	1007573999
1007574001	1007575117
1007575119	1007575937
1007575939	1007576571
1007576573	1007577285
1007577287	1007582807
1007582809	1007587796
1007587798	1007613973
1007613975	1007615217
1007615219	1007616769
1007616815	1007616881
1007616893	1007616897
1007616927	1007616961
1007617005	1007617601
1007617643	1007618139
1007618141	1007622921
1007622923	1007624255
1007624448	1007626245
1007626247	1007626253
1007626255	1007626281
1007626283	1007626285
1007626287	1007626289
1007626291	1007626505
1007626507	1007626509
1007626511	1007626541
1007626543	1007626557
1007626559	1007626629
1007626631	1007626677
1007626679	1007626681
1007626683	1007626685
1007626687	1007626693
1007626695	1007626697
1007626699	1007626725
1007626727	1007626729
1007626731	1007626733
1007626735	1007626737
1007626739	1007626741
1007626743	1007626749
1007626751	1007626751
1007626756	1007626765
1007626767	1007626773
1007626775	1007626785
1007626787	1007626871
1007626873	1007631494
1007631496	1007632127
1007632384	1007634789
1007634791	1007636313
1007636315	1007640777
1007640779	1007640785
